Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population,SP.URB.TOTL,Puerto Rico,PRI,3287359,3596716,3449657,3406460,3366210,3310445,3251779,3188713,3112035,2988277,2988531,2989009
Urban population,SP.URB.TOTL,Qatar,QAT,441917,570611,2007401,2167463,2308190,2431364,2538640,2628233,2699605,2757620,2809075,2859020
Urban population,SP.URB.TOTL,Romania,ROU,12347321,11895672,10871606,10826124,10778604,10730940,10678041,10619522,10565369,10515554,10476962,10451921
Urban population,SP.URB.TOTL,Russian Federation,RUS,108600667,107528803,105407937,105669982,105998572,106354644,106703732,107050095,107349517,107539205,107708298,107723564
Urban population,SP.URB.TOTL,Rwanda,RWA,394766,1184182,1743485,1787430,1832231,1880559,1933196,1990235,2051739,2117292,2186102,2257829
Urban population,SP.URB.TOTL,Samoa,WSM,34513,38340,37226,37107,36970,36808,36600,36342,36047,35780,35587,35494
Urban population,SP.URB.TOTL,San Marino,SMR,21808,25659,30376,30874,31372,31808,32185,32468,32685,32847,32973,33089
Urban population,SP.URB.TOTL,Sao Tome and Principe,STP,52033,76003,121902,126525,131011,135469,139954,144474,149036,153638,158271,162955
Urban population,SP.URB.TOTL,Saudi Arabia,SAU,12432320,16499663,23264793,24058628,24865073,25648414,26382763,27058156,27679871,28257740,28807839,29343564
Urban population,SP.URB.TOTL,Senegal,SEN,2927432,3950445,5759382,5977690,6204712,6440435,6685969,6941397,7207006,7481973,7765705,8057514
Urban population,SP.URB.TOTL,Serbia,SRB,3822813,3966301,3994308,3985121,3973872,3963388,3951845,3939250,3927608,3916682,3907389,3899416
Urban population,SP.URB.TOTL,Seychelles,SYC,34246,40917,46973,47790,49055,50219,51754,52859,53922,54855,55762,56661
Urban population,SP.URB.TOTL,Sierra Leone,SLE,1436408,1633299,2575940,2661003,2748061,2837175,2928219,3021537,3117881,3217270,3319363,3423961
Urban population,SP.URB.TOTL,Singapore,SGP,3047132,4027887,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807
Urban population,SP.URB.TOTL,Sint Maarten (Dutch part),SXM,28814,30519,33435,34640,36607,37685,38825,39969,40574,40654,40733,40812
Urban population,SP.URB.TOTL,Slovak Republic,SVK,2993564,3030239,2937801,2935234,2930811,2926070,2922832,2922095,2923642,2926332,2930459,2934665
