Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Greece,GRC,7.416057913,8.741595261,7.613756775,7.251237686,6.609995923,6.385178381,6.285069342,6.203617289,6.211250006,6.08317505,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Greenland,GRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Grenada,GRD,1.141931733,2.042066571,2.715711797,3.908722034,2.958251673,2.295684114,2.46343622,2.539383111,2.615581651,2.691814193,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guam,GUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guatemala,GTM,0.434248626,0.81278639,0.808455592,0.821948835,0.864797689,0.911388475,1.049628073,1.103130021,1.026267857,1.113969273,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guinea,GIN,0.157423742,0.180809115,0.251428464,0.233758216,0.200131812,0.200879385,0.222181479,0.241088377,0.246115273,0.251323233,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guinea-Bissau,GNB,0.174311597,0.12486421,0.159949226,0.155765084,0.157742199,0.165442295,0.161178259,0.168309177,0.164100679,0.165394728,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Guyana,GUY,1.587502321,2.22306145,2.433416796,2.647645978,2.607730208,2.698556796,2.671242962,2.994698994,2.992706568,3.13219265,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Haiti,HTI,0.144929287,0.173680812,0.27721894,0.243880502,0.26248304,0.290074696,0.31040976,0.313653831,0.306855526,0.299374738,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Honduras,HND,0.496437957,0.766597054,1.03529556,1.05778565,1.061541686,1.056324778,1.083079554,1.013936886,0.954500448,1.019032757,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Hong Kong SAR, China",HKG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Hungary,HUN,6.498947174,5.350127818,4.704300469,4.377864437,4.120050759,4.117988322,4.407180392,4.532290173,4.755839977,4.745506244,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Iceland,ISL,7.65228038,7.930157714,5.924504881,5.799523566,6.269999135,6.261721637,6.227045327,6.171017681,6.319161328,6.237224322,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,India,IND,0.644102026,0.88982752,1.408315593,1.507820975,1.535560059,1.649327519,1.641198393,1.648359053,1.7191902,1.799825446,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Indonesia,IDN,0.815761138,1.324594286,1.960133257,1.959133194,1.804251041,1.920799967,1.899658692,1.89244089,2.01367107,2.178461553,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Iran, Islamic Rep.",IRN,3.179919204,5.192507788,7.526365761,7.56050966,7.746663092,7.88309479,7.672481325,7.613494401,7.694930979,7.693012599,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Iraq,IRQ,3.722922057,3.173517079,4.264563037,4.761992564,4.902424856,4.906435262,4.559450509,4.70764886,4.641199885,4.895195361,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Ireland,IRL,8.821920709,11.20053906,7.938719028,8.066036269,7.7252209,7.632456943,7.866937107,8.140330807,7.806734135,7.624325193,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Isle of Man,IMN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Israel,ISR,7.253218884,9.063444109,8.990702825,9.61506858,8.313170792,7.876383023,7.892507249,7.636321086,7.579217977,6.976403837,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Italy,ITA,7.145018163,7.662168039,6.680594156,6.327708948,5.751739866,5.387310957,5.56325971,5.498165205,5.437857549,5.376374339,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Jamaica,JAM,3.086903142,3.78950826,2.68937823,2.501646653,2.651545627,2.573790397,2.521597884,2.666674007,2.461613887,2.899634155,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Japan,JPN,8.848215877,9.32609604,9.482449759,9.811406499,9.893679627,9.584053553,9.292832367,9.22394197,9.085639143,8.74225771,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Jordan,JOR,2.784720103,3.176186604,2.709171956,2.981472227,2.793757759,2.869212997,2.73671831,2.601973606,2.667119021,2.478595273,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Kazakhstan,KAZ,14.53205285,7.705111644,14.62747148,14.3811759,15.04735597,11.87104447,11.77918743,12.5333995,12.50486756,12.06196914,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Kenya,KEN,0.258803383,0.257472675,0.301772165,0.273546483,0.30975405,0.321841108,0.356946384,0.3826588,0.376136379,0.358028408,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Kiribati,KIR,0.276265989,0.473905574,0.477395331,0.564127154,0.55613744,0.548511249,0.540896265,0.71092785,0.70081382,0.690595812,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Korea, Dem. People's Rep.",PRK,6.079419183,3.132267246,1.501212318,1.552379419,1.11594697,1.253901331,1.004612801,1.188967848,0.880069286,0.709208588,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Korea, Rep.",KOR,5.814186349,9.693859002,11.9609574,11.93150904,11.85114256,11.54755823,11.88886857,12.00324817,12.17536474,12.22459136,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Kosovo,XKX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Kuwait,KWT,13.95948171,23.06462741,25.61825019,24.96079253,24.17775499,22.64464409,22.9534559,22.71496959,22.11975932,21.62272431,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Kyrgyz Republic,KGZ,5.18309346,0.95337253,1.38178653,1.794121843,1.639974823,1.663953389,1.7240511,1.595525948,1.506889097,1.73973556,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Lao PDR,LAO,0.119761295,0.169055324,0.478923883,0.507407293,0.597740328,0.665686411,1.284645373,2.243695741,2.662148349,2.660908493,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Latvia,LVA,7.051796913,2.927076514,3.835493266,3.721146978,3.701592977,3.651352054,3.701592949,3.648821125,3.665855236,3.959165078,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Lebanon,LBN,2.004971759,4.077783393,4.071493738,4.240088702,3.930312382,3.983359969,4.140719561,4.141917802,4.293649871,4.039707217,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Lesotho,LSO,0.815844043,0.860879425,1.102908334,1.131520386,1.128897407,1.130442272,1.083044238,1.093954288,1.166608974,1.218975994,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Liberia,LBR,0.216771672,0.150959453,0.211577206,0.229709294,0.214201463,0.279848093,0.281738703,0.307404659,0.267958311,0.273917114,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Libya,LBY,8.134492072,7.441358011,6.090496616,8.320405947,8.700467537,9.383784035,8.388494488,7.883354692,8.632790044,8.825249137,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Liechtenstein,LIE,6.946856547,6.629701061,4.958814292,5.189130138,5.143475907,4.298879605,4.270652609,3.983534723,4.232244412,3.692177857,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Lithuania,LTU,8.713199442,3.003255289,3.910023232,3.992940561,3.830693491,3.703492776,3.810789319,3.904845879,3.966902878,4.137005929,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Luxembourg,LUX,29.64514862,19.66536787,21.08626075,20.13387425,18.68006478,17.3461629,16.02867957,15.22300151,15.09216281,15.33020808,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Macao SAR, China",MAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Madagascar,MDG,0.076733088,0.104650238,0.100717578,0.122613506,0.127606243,0.129292637,0.136997154,0.129346515,0.13687642,0.128320761,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Malawi,MWI,0.076559102,0.078932609,0.076192421,0.072746121,0.076392328,0.067527955,0.071661878,0.079045626,0.084888716,0.086533726,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Malaysia,MYS,3.116502968,5.244833936,7.038856147,6.99321172,7.459383568,7.757158614,7.682279042,7.451282159,7.165808462,7.600220413,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Maldives,MDV,0.716977581,1.646408682,2.654450936,2.869866652,2.719012878,3.126307417,2.967593875,3.680297789,3.666412838,3.703674976,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Mali,MLI,0.049704642,0.128808907,0.201100989,0.19462446,0.18541198,0.184242397,0.195541292,0.24602782,0.272789703,0.294583928,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Malta,MLT,6.550526583,5.46032039,6.173907194,6.451950822,5.563811281,5.407793666,3.70742361,2.964713323,3.247870188,3.198316241,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Marshall Islands,MHL,0,1.970288056,2.476824004,2.468613345,2.459030791,2.623157232,2.611238772,3.118341043,3.100614955,3.252756283,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Mauritania,MRT,0.412908909,0.425820379,0.60856222,0.647501521,0.576293839,0.641075542,0.729060397,0.674907747,0.887315176,0.908407126,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Mauritius,MUS,1.095605771,2.047396815,2.906410392,2.970024254,3.034990581,3.132598534,3.136372817,3.197535681,3.305359031,3.264040313,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Mexico,MEX,3.189063644,3.887569288,4.157120485,4.099027581,3.954146576,3.808063465,3.87819451,3.885809372,3.781215828,3.741477725,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Micronesia, Fed. Sts.",FSM,0,1.210371957,1.160003093,1.243947716,1.321727309,1.303004356,1.377587569,1.542439777,1.525197154,1.598011364,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Moldova,MDA,10.2825876,2.294971959,2.919750909,2.846693324,2.51163819,2.698682161,2.829393233,2.904891566,2.961717622,3.171832063,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Monaco,MCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Mongolia,MNG,5.93826675,3.754040286,5.67796858,6.067905312,6.377995845,6.16303262,5.769680363,5.944984194,6.252834169,6.725098053,0.0,0.0
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Montenegro,MNE,0,0,4.096252252,3.754425146,3.654176466,3.570222415,3.793242563,3.390631252,3.583060319,4.049968902,0.0,0.0
